product_id,purchase_count
100001804,1
100001805,1
100001806,5
100001808,66
100001810,5
100001811,29
100001813,13
100001814,3
100001815,1
100001816,1
100001817,1
100001819,8
100001820,3
100001821,1
100001822,3
100001829,2
100001830,1
100001831,3
100001832,6
100001833,2
100001834,4
100001835,2
100001840,2
100001842,3
100001844,4
100001845,1
100001846,9
100001851,7
100001852,22
100001853,8
100001856,11
100001857,2
100001858,1
100001859,4
100001860,3
100001861,24
100001862,5
100001863,15
100001864,10
100001865,6
100001866,6
100001867,3
100001869,3
100001871,6
100001872,1
100001874,4
100001875,2
100001876,23
100001878,1
100001880,2
100001881,28
100001882,1
100001883,1
100001889,33
100001890,12
100001891,3
100001892,9
100001893,5
100001894,15
100001895,14
100001896,3
100001897,6
100001898,1
100001900,23
100001901,12
100001902,9
100001903,6
100001904,75
100001905,14
100001906,26
100001907,1
100001908,11
100001909,1
100001910,37
100001911,26
100001914,46
100001916,2
100001917,6
100001920,3
100001921,15
100001925,4
100001927,8
100001928,2
100001930,3
100001932,4
100001935,3
100001937,1
100001939,1
100001940,7
100001942,6
100001943,3
100001944,30
100001945,4
100001946,16
100001949,1
100001950,1
100001951,9
100001953,4
100001954,2
100001955,1
100001956,1
100001962,6
100001964,31
100001966,50
100001971,32
100001974,24
100001979,1
100001981,18
100001983,2
100001984,136
100001985,136
100001986,6
100001987,76
100001988,128
100001989,3
100001990,44
100001991,4
100001992,32
100001993,48
100001994,3
100001995,3
100001997,9
100001998,292
100001999,5
100002000,214
100002001,632
100002003,7
100002004,6
100002005,8
100002006,16
100002007,20
100002008,19
100002010,9
100002011,17
100002018,8
100002021,20
100002024,106
100002028,2
100002031,20
100002032,6
100002034,45
100002037,10
100002039,915
100002042,19
100002043,248
100002044,3
100002045,9
100002049,8
100002050,7
100002052,1
100002053,38
100002054,41
100002055,15
100002057,1
100002058,3
100002060,3
100002061,1
100002063,1
100002064,7
100002066,5
100002068,1
100002069,1
100002073,28
100002074,21
100002075,5
100002079,4
100002082,8
100002084,2
100002087,261
100002089,5
100002090,11
100002092,1
100002096,2
100002102,13
100002104,2
100002107,1
100002109,1
100002112,5
100002113,375
100002115,1
100002120,25
100002122,5
100002123,5
100002124,141
100002125,4
100002126,1
100002127,1
100002128,2
100002129,1
100002130,9
100002131,5
100002132,4
100002133,2
100002134,20
100002136,6
100002137,7
100002138,6
100002139,2
100002140,12
100002141,1
100002144,8
100002147,6
100002148,1
100002149,87
100002151,12
100002153,1
100002154,17
100002155,55
100002159,2
100002166,2
100002167,2
100002169,20
100002171,1
100002172,2
100002173,5
100002174,14
100002175,63
100002176,34
100002177,24
100002178,1
100002179,17
100002183,11
100002185,31
100002186,47
100002187,35
100002188,3
100002189,5
100002190,8
100002192,13
100002193,25
100002195,11
100002196,14
100002199,2
100002200,1
100002201,21
100002202,13
100002204,3
100002205,11
100002207,3
100002208,2
100002209,16
100002211,13
100002212,25
100002213,5
100002215,1
100002218,1
100002219,11
100002220,1
100002222,4
100002224,91
100002225,8
100002226,7
100002227,3
100002229,1
100002232,2
100002233,1
100002235,867
100002236,5
100002237,57
100002240,4
100002241,21
100002242,19
100002244,10
100002248,1
100002250,4
100002254,3
100002255,1
100002259,1
100002262,2
100002263,429
100002265,4
100002267,45
100002268,2
100002269,24
100002270,10
100002271,1
100002272,1
100002273,3
100002276,1
100002277,63
100002278,1
100002282,3
100002283,4
100002284,1
100002285,3
100002292,740
100002294,2
100002296,2
100002301,21
100002304,33
100002305,1
100002306,1
100002307,1
100002308,3
100002310,6
100002314,7
100002316,66
100002317,1
100002318,27
100002319,50
100002320,2
100002323,20
100002326,1
100002328,13
100002330,3
100002332,5
100002333,8
100002335,16
100002337,6
100002338,4
100002339,3
100002341,19
100002342,6
100002343,13
100002345,12
100002346,1
100002348,8
100002349,2
100002350,63
100002351,10
100002353,4
100002355,5
100002357,4
100002360,28
100002363,19
100002365,11
100002366,29
100002367,100
100002368,33
100002369,1
100002370,2
100002371,321
100002374,2
100002376,1
100002377,1
100002378,4
100002381,2
100002382,2
100002383,1
100002385,6
100002386,9
100002387,6
100002393,4
100002400,6
100002404,1
100002409,13
100002421,1
100002425,2
100002426,2
100002427,2
100002431,2
100002432,2
100002433,55
100002434,127
100002437,35
100002438,7
100002439,24
100002442,63
100002444,14
100002446,18
100002447,1
100002448,5
100002449,13
100002450,55
100002452,3
100002453,7
100002455,5
100002456,10
100002457,5
100002458,70
100002459,107
100002460,918
100002461,590
100002462,423
100002463,17
100002464,2
100002465,77
100002466,256
100002467,27
100002470,89
100002472,116
100002473,6
100002475,5
100002476,76
100002481,1
100002483,92
100002485,2
100002486,1
100002487,2
100002491,3
100002492,3
100002495,5
100002498,134
100002499,6
100002500,6
100002503,2
100002504,12
100002507,4
100002509,1
100002510,1
100002514,41
100002517,22
100002518,35
100002520,102
100002521,1
100002524,175
100002526,3
100002527,5
100002529,11
100002530,4
100002531,26
100002532,2
100002534,4
100002536,19
100002537,6
100002538,6
100002539,13
100002540,7
100002541,2
100002542,1
100002543,5
100002545,3
100002546,2
100002547,4
100002548,2
100002549,4
100002550,2
100002551,21
100002552,13
100002554,3
100002558,4
100002560,67
100002564,96
100002565,8
100002566,7
100002568,4
100002570,3
100002571,1
100002572,2
100002574,1
100002575,4
100002577,2
100002579,2
100002584,2
100002586,76
100002587,28
100002588,21
100002590,9
100002591,24
100002592,16
100002594,2
100002595,7
100002596,50
100002597,29
100002598,15
100002599,1
100002600,5
100002601,62
100002602,18
